variable,varlabel,N,mean,sd,min,p1,p5,p10,p25,p50,p75,p90,p95,p99,max,skewness,kurtosis
qg7_a_1,现金福利：是否提供交通费补贴,23665,-4.8882737,3.9482293,-8,-8,-8,-8,-8,-8,0,0,0,1,1,.48602948,1.2482996
qg7_a_2,现金福利：是否提供餐费补贴,23665,-4.8672724,3.976733,-8,-8,-8,-8,-8,-8,0,0,1,1,1,.48898122,1.2554007
qg7_a_3,现金福利：是否提供住房补贴,23665,-4.9026408,3.9285457,-8,-8,-8,-8,-8,-8,0,0,0,1,1,.48364341,1.2424281
qg7_a_4,现金福利：是否提供过节费,23665,-4.8561587,3.9916894,-8,-8,-8,-8,-8,-8,0,0,1,1,1,.49029833,1.2584945
qg7_a_77,现金福利：是否提供其他,23665,-4.898035,3.9348726,-8,-8,-8,-8,-8,-8,0,0,0,1,1,.48444191,1.2444043
qg7_a_78,现金福利：是否以上都没有,23665,-4.6892881,4.2063508,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.49346557,1.2633585
qg701_a_1,每月福利金额（元）-交通费补贴,23665,11.796958,177.88315,-8,-8,-8,-8,-8,-8,-8,-8,-8,500,10000,24.979391,969.80017
qg701_a_2,每月福利金额（元）-餐费补贴,23665,18.93746,162.55586,-8,-8,-8,-8,-8,-8,-8,-8,200,600,10000,20.380665,842.39734
qg701_a_3,每月福利金额（元）-住房补贴,23665,11.712022,199.53511,-8,-8,-8,-8,-8,-8,-8,-8,-8,550,8280,19.220345,518.31952
qg701_a_5,每月福利金额（元）-其他,23665,8.8264103,224.36179,-8,-8,-8,-8,-8,-8,-8,-8,-8,300,10000,28.233562,1009.8828
qg702,12个月福利金额(元/年),23665,108.96708,1044.8323,-8,-8,-8,-8,-8,-8,-8,-8,500,2800,75000,35.165337,1930.6124
qg8_s_1,实物福利：选择1,23665,13.216861,35.454453,-8,-8,-8,-8,-8,-8,4,78,78,78,78,1.2531888,2.6152253
qg8_s_2,实物福利：选择2,23665,-6.4588208,9.1964054,-8,-8,-8,-8,-8,-8,-8,-8,2,77,77,8.4150715,76.009842
qg8_s_3,实物福利：选择3,23665,-7.4752164,5.8947401,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,77,13.747702,196.17928
qg8_s_4,实物福利：选择4,23665,-7.8793154,2.9612477,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,27.967693,799.12762
qg8_s_5,实物福利：选择5,23665,-7.9779844,1.3551846,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,62.539188,3920.4287
qg8_a_1,实物福利：是否提供免费早/中/晚餐,23665,-4.8251004,4.0315223,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.49230561,1.2639819
qg8_a_2,实物福利：是否提供免费住宿,23665,-4.8601732,3.9847703,-8,-8,-8,-8,-8,-8,0,0,1,1,1,.48894668,1.256332
qg8_a_3,实物福利：是否提供单位配车/班,23665,-4.9071627,3.9207683,-8,-8,-8,-8,-8,-8,0,0,0,1,1,.48184237,1.2390639
qg8_a_4,实物福利：是否提供购物卡/购物券,23665,-4.8971901,3.9344854,-8,-8,-8,-8,-8,-8,0,0,0,1,1,.48361957,1.2434762
qg8_a_77,实物福利：是否提供其他,23665,-4.8716249,3.9693191,-8,-8,-8,-8,-8,-8,0,0,1,1,1,.48750412,1.2529167
qg8_a_78,实物福利：是否以上都没有,23665,-4.7389393,4.1428757,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.49465483,1.2679582
qg801_a_1,每月实物福利（元）-免费早/中/晚餐,23665,52.387535,284.63266,-8,-8,-8,-8,-8,-8,-8,20,450,1000,13200,14.761277,430.06445
qg801_a_2,每月福利金额（元）-免费住宿,23665,36.604565,298.96863,-8,-8,-8,-8,-8,-8,-8,-8,200,1000,15000,19.190145,617.53162
qg801_a_3,每月福利金额（元）-单位配车/班车,23665,8.1332769,580.5144,-8,-8,-8,-8,-8,-8,-8,-8,-8,200,80000,117.16422,15546.142
qg801_a_4,每月福利金额（元）-购物卡/购物券,23665,-2.8758082,54.569466,-8,-8,-8,-8,-8,-8,-8,-8,-8,110,3000,25.412498,915.66711
qg801_a_5,每月福利金额（元）-其他,23665,.51379675,88.999977,-8,-8,-8,-8,-8,-8,-8,-8,10,200,4700,25.078505,833.83734
